Compressive strength of cementfce(MPa),Tensile strength of cementfct(MPa),Curing age (day),Dmax of Crushed stone(mm),Stone powder content in Sand (%),Fineness modulus of sand ,W/B,Water to cement ratio mw/mc,Water(kg/m3),Sand ratio(%),"Compressive strengthfcu,t(MPa)","Splitting tensile strengthfst,t(MPa)"
46.8,8.0,3.0,31.5,5.0,3.34,0.56,0.56,180.0,44.0,32.5,1.18
46.8,8.0,3.0,31.5,9.0,3.27,0.56,0.56,180.0,44.0,28.7,1.13
46.8,8.0,3.0,31.5,13.0,2.77,0.56,0.56,180.0,44.0,28.5,1.56
46.8,8.0,7.0,31.5,5.0,3.34,0.56,0.56,180.0,44.0,33.5,1.39
46.8,8.0,7.0,31.5,9.0,3.27,0.56,0.56,180.0,44.0,34.9,1.38
46.8,8.0,7.0,31.5,13.0,2.77,0.56,0.56,180.0,44.0,34.7,1.42
46.8,8.0,14.0,31.5,5.0,3.34,0.56,0.56,180.0,44.0,39.7,2.62
46.8,8.0,14.0,31.5,9.0,3.27,0.56,0.56,180.0,44.0,38.9,3.05
46.8,8.0,14.0,31.5,13.0,2.77,0.56,0.56,180.0,44.0,37.0,2.31
46.8,8.0,28.0,31.5,5.0,3.34,0.56,0.56,180.0,44.0,41.2,3.02
46.8,8.0,28.0,31.5,9.0,3.27,0.56,0.56,180.0,44.0,41.3,3.75
46.8,8.0,28.0,31.5,13.0,2.77,0.56,0.56,180.0,44.0,40.5,3.01
46.8,8.0,42.0,31.5,5.0,3.34,0.56,0.56,180.0,44.0,42.0,3.31
46.8,8.0,42.0,31.5,9.0,3.27,0.56,0.56,180.0,44.0,41.8,3.82
46.8,8.0,42.0,31.5,13.0,2.77,0.56,0.56,180.0,44.0,42.3,3.43
46.8,8.0,56.0,31.5,5.0,3.34,0.56,0.56,180.0,44.0,43.8,3.73
46.8,8.0,56.0,31.5,9.0,3.27,0.56,0.56,180.0,44.0,42.4,3.99
46.8,8.0,56.0,31.5,13.0,2.77,0.56,0.56,180.0,44.0,45.0,3.68
46.8,8.0,84.0,31.5,5.0,3.34,0.56,0.56,180.0,44.0,47.4,4.42
46.8,8.0,84.0,31.5,9.0,3.27,0.56,0.56,180.0,44.0,48.8,4.21
46.8,8.0,84.0,31.5,13.0,2.77,0.56,0.56,180.0,44.0,48.0,4.48
46.8,8.0,118.0,31.5,5.0,3.34,0.56,0.56,180.0,44.0,48.9,4.37
46.8,8.0,118.0,31.5,9.0,3.27,0.56,0.56,180.0,44.0,49.3,4.03
46.8,8.0,118.0,31.5,13.0,2.77,0.56,0.56,180.0,44.0,48.7,4.41
46.8,8.0,178.0,31.5,5.0,3.34,0.56,0.56,180.0,44.0,49.7,4.68
46.8,8.0,178.0,31.5,9.0,3.27,0.56,0.56,180.0,44.0,51.9,4.22
46.8,8.0,178.0,31.5,13.0,2.77,0.56,0.56,180.0,44.0,49.9,4.42
46.8,8.0,238.0,31.5,5.0,3.34,0.56,0.56,180.0,44.0,51.1,4.22
46.8,8.0,238.0,31.5,9.0,3.27,0.56,0.56,180.0,44.0,55.4,3.92
46.8,8.0,238.0,31.5,13.0,2.77,0.56,0.56,180.0,44.0,54.5,4.12
46.8,8.0,298.0,31.5,5.0,3.34,0.56,0.56,180.0,44.0,51.2,4.36
