,Compressive strength of cementfce(MPa),Tensile strength of cementfct(MPa),Curing age (day),Dmax of Crushed stone(mm),Stone powder content in Sand (%),Fineness modulus of sand ,W/B,Water to cement ratio mw/mc,Water(kg/m3),Sand ratio(%),Slump(mm),"Compressive strengthfcu,t(MPa)","Splitting tensile strengthfst,t(MPa)"
0,46.8,8.0,3,31.5,5.0,3.34,0.56,0.56,180.0,44.0,50.0,32.5,1.18
1,46.8,8.0,3,31.5,9.0,3.27,0.56,0.56,180.0,44.0,70.0,28.7,1.13
2,46.8,8.0,3,31.5,13.0,2.77,0.56,0.56,180.0,44.0,50.0,28.5,1.56
3,46.8,8.0,7,31.5,5.0,3.34,0.56,0.56,180.0,44.0,50.0,33.5,1.39
4,46.8,8.0,7,31.5,9.0,3.27,0.56,0.56,180.0,44.0,70.0,34.9,1.38
5,46.8,8.0,7,31.5,13.0,2.77,0.56,0.56,180.0,44.0,50.0,34.7,1.42
6,46.8,8.0,14,31.5,5.0,3.34,0.56,0.56,180.0,44.0,50.0,39.7,2.62
7,46.8,8.0,14,31.5,9.0,3.27,0.56,0.56,180.0,44.0,70.0,38.9,3.05
8,46.8,8.0,14,31.5,13.0,2.77,0.56,0.56,180.0,44.0,50.0,37.0,2.31
9,46.8,8.0,28,31.5,5.0,3.34,0.56,0.56,180.0,44.0,50.0,41.2,3.02
10,46.8,8.0,28,31.5,9.0,3.27,0.56,0.56,180.0,44.0,70.0,41.3,3.75
11,46.8,8.0,28,31.5,13.0,2.77,0.56,0.56,180.0,44.0,50.0,40.5,3.01
12,46.8,8.0,42,31.5,5.0,3.34,0.56,0.56,180.0,44.0,50.0,42.0,3.31
13,46.8,8.0,42,31.5,9.0,3.27,0.56,0.56,180.0,44.0,70.0,41.8,3.82
14,46.8,8.0,42,31.5,13.0,2.77,0.56,0.56,180.0,44.0,50.0,42.3,3.43
15,46.8,8.0,56,31.5,5.0,3.34,0.56,0.56,180.0,44.0,50.0,43.8,3.73
16,46.8,8.0,56,31.5,9.0,3.27,0.56,0.56,180.0,44.0,70.0,42.4,3.99
17,46.8,8.0,56,31.5,13.0,2.77,0.56,0.56,180.0,44.0,50.0,45.0,3.68
18,46.8,8.0,84,31.5,5.0,3.34,0.56,0.56,180.0,44.0,50.0,47.4,4.42
19,46.8,8.0,84,31.5,9.0,3.27,0.56,0.56,180.0,44.0,70.0,48.8,4.21
20,46.8,8.0,84,31.5,13.0,2.77,0.56,0.56,180.0,44.0,50.0,48.0,4.48
21,46.8,8.0,118,31.5,5.0,3.34,0.56,0.56,180.0,44.0,50.0,48.9,4.37
22,46.8,8.0,118,31.5,9.0,3.27,0.56,0.56,180.0,44.0,70.0,49.3,4.03
23,46.8,8.0,118,31.5,13.0,2.77,0.56,0.56,180.0,44.0,50.0,48.7,4.41
24,46.8,8.0,178,31.5,5.0,3.34,0.56,0.56,180.0,44.0,50.0,49.7,4.68
25,46.8,8.0,178,31.5,9.0,3.27,0.56,0.56,180.0,44.0,70.0,51.9,4.22
26,46.8,8.0,178,31.5,13.0,2.77,0.56,0.56,180.0,44.0,50.0,49.9,4.42
27,46.8,8.0,238,31.5,5.0,3.34,0.56,0.56,180.0,44.0,50.0,51.1,4.22
28,46.8,8.0,238,31.5,9.0,3.27,0.56,0.56,180.0,44.0,70.0,55.4,3.92
29,46.8,8.0,238,31.5,13.0,2.77,0.56,0.56,180.0,44.0,50.0,54.5,4.12
30,46.8,8.0,298,31.5,5.0,3.34,0.56,0.56,180.0,44.0,50.0,51.2,4.36
31,46.8,8.0,298,31.5,9.0,3.27,0.56,0.56,180.0,44.0,70.0,56.2,4.05
32,46.8,8.0,298,31.5,13.0,2.77,0.56,0.56,180.0,44.0,50.0,54.8,4.23
33,46.8,8.0,358,31.5,5.0,3.34,0.56,0.56,180.0,44.0,50.0,51.6,4.41
34,46.8,8.0,358,31.5,9.0,3.27,0.56,0.56,180.0,44.0,70.0,56.4,4.22
35,46.8,8.0,358,31.5,13.0,2.77,0.56,0.56,180.0,44.0,50.0,55.1,4.32
36,46.8,8.0,3,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,38.4,2.67
37,46.8,8.0,3,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,38.0,2.61
38,46.8,8.0,3,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,38.1,2.71
39,46.8,8.0,7,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,42.2,2.81
40,46.8,8.0,7,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,42.3,3.02
41,46.8,8.0,7,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,41.7,2.95
42,46.8,8.0,14,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,44.9,3.06
43,46.8,8.0,14,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,44.8,3.05
44,46.8,8.0,14,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,44.2,3.01
45,46.8,8.0,28,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,54.2,3.46
46,46.8,8.0,28,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,50.9,3.19
47,46.8,8.0,28,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,51.5,3.37
48,46.8,8.0,35,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,51.6,3.49
49,46.8,8.0,35,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,52.3,3.34
50,46.8,8.0,35,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,52.6,3.43
51,46.8,8.0,42,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,53.7,3.54
52,46.8,8.0,42,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,53.6,3.67
53,46.8,8.0,42,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,54.0,3.56
54,46.8,8.0,56,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,54.2,3.96
55,46.8,8.0,56,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,54.3,3.81
56,46.8,8.0,56,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,56.0,3.76
57,46.8,8.0,70,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,55.3,4.12
58,46.8,8.0,70,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,55.0,3.86
59,46.8,8.0,70,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,56.5,3.78
60,46.8,8.0,84,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,56.5,4.32
61,46.8,8.0,84,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,58.3,4.27
62,46.8,8.0,84,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,57.0,4.48
63,46.8,8.0,98,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,58.0,4.47
64,46.8,8.0,98,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,58.8,4.31
65,46.8,8.0,98,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,57.2,4.52
66,46.8,8.0,118,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,59.7,4.61
67,46.8,8.0,118,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,63.7,4.38
68,46.8,8.0,118,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,63.0,4.48
69,46.8,8.0,148,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,62.4,4.47
70,46.8,8.0,148,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,64.1,4.27
71,46.8,8.0,148,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,65.0,4.69
72,46.8,8.0,178,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,63.1,4.45
73,46.8,8.0,178,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,64.3,4.07
74,46.8,8.0,178,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,66.2,4.29
75,46.8,8.0,208,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,63.6,4.32
76,46.8,8.0,208,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,65.1,4.41
77,46.8,8.0,208,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,67.0,4.31
78,46.8,8.0,238,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,64.4,4.26
79,46.8,8.0,238,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,67.8,4.09
80,46.8,8.0,238,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,68.7,4.24
81,46.8,8.0,268,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,65.4,4.19
82,46.8,8.0,268,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,68.3,4.29
83,46.8,8.0,268,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,69.2,4.25
84,46.8,8.0,298,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,67.1,4.21
85,46.8,8.0,298,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,70.8,4.04
86,46.8,8.0,298,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,71.2,4.35
87,46.8,8.0,328,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,67.6,4.43
88,46.8,8.0,328,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,71.1,4.11
89,46.8,8.0,328,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,71.4,4.3
90,46.8,8.0,358,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,67.8,4.45
91,46.8,8.0,358,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,71.5,4.22
92,46.8,8.0,358,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,72.0,4.35
93,46.8,8.0,388,31.5,5.0,3.34,0.45,0.45,180.0,36.0,110.0,68.2,4.52
94,46.8,8.0,388,31.5,9.0,3.27,0.45,0.45,180.0,36.0,160.0,71.9,4.31
95,46.8,8.0,388,31.5,13.0,2.77,0.45,0.45,180.0,36.0,45.0,72.4,4.41
96,46.8,8.0,3,31.5,5.0,3.34,0.4,0.4,185.0,34.0,30.0,42.7,2.96
