Source,Compressive strength of cementfce(MPa),Tensile strength of cementfct(MPa),Curing age (day),Dmax of Crushed stone(mm),Stone powder content in Sand (%),Fineness modulus of sand ,W/B,Water to cement ratio mw/mc,Water(kg/m3),Sand ratio(%),Slump(mm),"Compressive strengthfcu,t(MPa)","Splitting tensile strengthfst,t(MPa)"
Zhao et al [1],46.8,8.0,3,31.5,5,3.34,0.56,0.56,180,44,50,32.5,1.18
Zhao et al [1],46.8,8.0,3,31.5,9,3.27,0.56,0.56,180,44,70,28.7,1.13
Zhao et al [1],46.8,8.0,3,31.5,13,2.77,0.56,0.56,180,44,50,28.5,1.56
Zhao et al [1],46.8,8.0,7,31.5,5,3.34,0.56,0.56,180,44,50,33.5,1.39
Zhao et al [1],46.8,8.0,7,31.5,9,3.27,0.56,0.56,180,44,70,34.9,1.38
Zhao et al [1],46.8,8.0,7,31.5,13,2.77,0.56,0.56,180,44,50,34.7,1.42
Zhao et al [1],46.8,8.0,14,31.5,5,3.34,0.56,0.56,180,44,50,39.7,2.62
Zhao et al [1],46.8,8.0,14,31.5,9,3.27,0.56,0.56,180,44,70,38.9,3.05
Zhao et al [1],46.8,8.0,14,31.5,13,2.77,0.56,0.56,180,44,50,37.0,2.31
Zhao et al [1],46.8,8.0,28,31.5,5,3.34,0.56,0.56,180,44,50,41.2,3.02
Zhao et al [1],46.8,8.0,28,31.5,9,3.27,0.56,0.56,180,44,70,41.3,3.75
Zhao et al [1],46.8,8.0,28,31.5,13,2.77,0.56,0.56,180,44,50,40.5,3.01
Zhao et al [1],46.8,8.0,42,31.5,5,3.34,0.56,0.56,180,44,50,42.0,3.31
Zhao et al [1],46.8,8.0,42,31.5,9,3.27,0.56,0.56,180,44,70,41.8,3.82
Zhao et al [1],46.8,8.0,42,31.5,13,2.77,0.56,0.56,180,44,50,42.3,3.43
Zhao et al [1],46.8,8.0,56,31.5,5,3.34,0.56,0.56,180,44,50,43.8,3.73
Zhao et al [1],46.8,8.0,56,31.5,9,3.27,0.56,0.56,180,44,70,42.4,3.99
Zhao et al [1],46.8,8.0,56,31.5,13,2.77,0.56,0.56,180,44,50,45.0,3.68
Zhao et al [1],46.8,8.0,84,31.5,5,3.34,0.56,0.56,180,44,50,47.4,4.42
Zhao et al [1],46.8,8.0,84,31.5,9,3.27,0.56,0.56,180,44,70,48.8,4.21
Zhao et al [1],46.8,8.0,84,31.5,13,2.77,0.56,0.56,180,44,50,48.0,4.48
Zhao et al [1],46.8,8.0,118,31.5,5,3.34,0.56,0.56,180,44,50,48.9,4.37
Zhao et al [1],46.8,8.0,118,31.5,9,3.27,0.56,0.56,180,44,70,49.3,4.03
Zhao et al [1],46.8,8.0,118,31.5,13,2.77,0.56,0.56,180,44,50,48.7,4.41
Zhao et al [1],46.8,8.0,178,31.5,5,3.34,0.56,0.56,180,44,50,49.7,4.68
Zhao et al [1],46.8,8.0,178,31.5,9,3.27,0.56,0.56,180,44,70,51.9,4.22
Zhao et al [1],46.8,8.0,178,31.5,13,2.77,0.56,0.56,180,44,50,49.9,4.42
Zhao et al [1],46.8,8.0,238,31.5,5,3.34,0.56,0.56,180,44,50,51.1,4.22
Zhao et al [1],46.8,8.0,238,31.5,9,3.27,0.56,0.56,180,44,70,55.4,3.92
Zhao et al [1],46.8,8.0,238,31.5,13,2.77,0.56,0.56,180,44,50,54.5,4.12
Zhao et al [1],46.8,8.0,298,31.5,5,3.34,0.56,0.56,180,44,50,51.2,4.36
Zhao et al [1],46.8,8.0,298,31.5,9,3.27,0.56,0.56,180,44,70,56.2,4.05
Zhao et al [1],46.8,8.0,298,31.5,13,2.77,0.56,0.56,180,44,50,54.8,4.23
Zhao et al [1],46.8,8.0,358,31.5,5,3.34,0.56,0.56,180,44,50,51.6,4.41
Zhao et al [1],46.8,8.0,358,31.5,9,3.27,0.56,0.56,180,44,70,56.4,4.22
Zhao et al [1],46.8,8.0,358,31.5,13,2.77,0.56,0.56,180,44,50,55.1,4.32
Zhao et al [1],46.8,8.0,3,31.5,5,3.34,0.45,0.45,180,36,110,38.4,2.67
Zhao et al [1],46.8,8.0,3,31.5,9,3.27,0.45,0.45,180,36,160,38.0,2.61
